Trading Name,Code,Last Price,ROE %,Market Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
Koh Eco,5HV,0.046,-14.1212,129.635,148.973,,,Industrials,72
KOP,5I1,0.043,-4.0912,47.642,69.437,,,Real Estate,63
Kori,5VC,0.151,1.299,14.979,17.442,20.972222,,Industrials,75
Koyo Intl,5OC,0.045,0.3157,8.542,47.287,150.000000,,Industrials,55
KrisEnergy,SK3,0.03,,45.085,74.328,,,Energy,78
KSH,ER0,0.23,-9.821399999999999,124.599,119.004,,4.35,Industrials,64
KTMG,XCF,0.053,-32.872,8.993,104.531,,,Consumer Cyclical,76
Leader Env,LS9,0.042,-115.2029,64.465,7.028,,,Industrials,62
Ley Choon,Q0X,0.07,19.9432,105.404,130.734,8.207293,3.8600000000000003,Industrials,63
LHN,41O,0.515,20.107400000000002,215.410,137.043,4.409247,3.88,Real Estate,86
LHT,BEI,1.01,3.8763,53.777,28.192,24.162679,4.95,Basic Materials,87
Lincotrade,BFT,0.083,23.9215,14.278,58.821,11.690141,3.8600000000000003,Industrials,59
Lion Asiapac,BAZ,0.27,2.5957,21.493,34.312,85.483871,,Basic Materials,65
Livingstone,PRH,0.023,-64.2542,14.105,25.489,,,Healthcare,68
LMS Compliance,LMS,0.38,16.3843,39.870,25.384,25.178775,2.8899999999999997,Industrials,82
Lonza,O6Z,79.97,6.7732,64053.667,6574.000,21.467718,3.75,Healthcare,
Lorenzo Intl,5IE,0.016,,5.712,23.992,,,Consumer Cyclical,50
Low Keng Huat,F1E,0.325,0.3473,240.115,482.705,116.071429,4.62,Real Estate,74
LS 2 Holdings,ENV,0.062,13.549800000000001,11.470,68.601,4.366197,,Industrials,68
Lum Chang,L19,0.305,4.4806,114.261,506.845,15.803109,9.84,Industrials,66
Luminor,5UA,0.052,-18.0554,8.707,43.981,,,Financial Services,68
Luxking,BKK,0.425,8.0578,5.376,567.648,,,Basic Materials,81
LY Corp,1H8,0.049,-3.2575,23.951,222.372,,,Consumer Cyclical,74
Man Oriental USD,M04,1.98,-2.7096,2502.343,525.800,,2.53,Consumer Cyclical,
MarcoPolo Marine,5LY,0.042,12.3014,157.653,114.647,7.118644,2.3800000000000003,Industrials,75
Maruwa Yen1k,M12,0,14.9606,421654.691,71849.000,,,Technology,
Mary Chia,5OX,0.021,,4.876,32.413,,,Consumer Cyclical,12
Matex Intl,M15,0.018,-24.404600000000002,9.283,7.002,,,Basic Materials,72
MDR Limited,Y3D,0.032,4.4782,27.844,232.027,5.079365,7.180000000000001,Technology,84
MediLifestyle,Z4D,0.006,,0.985,4.918,,,Healthcare,66
Medinex,OTX,0.197,6.1345,26.140,12.861,17.130435,8.53,Healthcare,55
MegaChem,5DS,0.44,14.5708,58.652,128.842,7.419899,1.1400000000000001,Basic Materials,76
