Trading Name,Sector,Ticker,fy_ended,ROA,ROE,operating_margin,cash_flow_margin,debt_ratio_lag1,debt_equity_ratio_lag1,current_ratio_lag1,interest_coverage_ratio_lag1,gross_margin_lag1,net_profit_margin_lag1,asset_turnover_lag1,log_assets_lag1
Creative,Technology,C76.SI,2024,-0.13521682653876899,-0.2163296299256654,-0.16798611000493796,-0.195909460169802,0.035056544583017976,0.05354151310058299,3.8951593167245853,-228.84722222222223,0.24759940251796003,-0.2971406216658368,0.6168460078756568,18.328203547458646
Creative,Technology,C76.SI,2023,-0.18329000625226233,-0.27993700998458754,-0.29299736823387157,-0.21633828864072835,0.02206467615645188,0.03110363093141284,4.347403610430131,-64.81290322580645,0.31793425086426197,-0.1790163720566173,0.5675730707291339,18.49806762033372
Creative,Technology,C76.SI,2022,-0.10160487199896341,-0.14322804545513848,-0.16381840714891396,-0.32251646989759314,0.030395931948429926,0.042413387937623344,4.709238193726302,-32.95495495495496,0.33246119786425465,-0.0908046929570128,0.6905468488133487,18.622142944273705
Jiutian Chemical,Basic Materials,C8R.SI,2024,-0.1414278277910466,-0.23914425835346428,-0.5871380103955989,-0.3346857731265153,0.2062616072772295,0.3471809275341881,2.019144166311254,-131.66692160611854,-0.4346710371339358,-0.575784002686434,0.4643399619258034,20.97718065904851
Jiutian Chemical,Basic Materials,C8R.SI,2023,-0.26735952188490547,-0.4500213491904935,-0.5752259996023811,-0.6442947525991416,0.06780936303256051,0.11015120204067942,2.4054963687590036,293.2983906046107,0.29094812273317006,0.20144912834215595,1.2262529739181587,21.409184957908156
Jiutian Chemical,Basic Materials,C8R.SI,2022,0.24702759272278954,0.4012777153291479,0.27693489888259737,0.1782480430976453,0.12060128074214546,0.2795623174484935,1.5673453371852912,133.3366066557556,0.3108718958639127,0.14949593017102944,1.1486669330475026,21.360915106620926
Sinostar Pec,Energy,C9Q.SI,2024,0.08087282486867065,0.12880814464284632,0.06064614689507346,0.07413754279787384,0.2429831303679117,0.418675469486371,1.9422523350013683,13.06969845338556,0.07501522100410438,0.040803729019437324,2.1118584789888915,21.649628476441396
Sinostar Pec,Energy,C9Q.SI,2023,0.08617170110406379,0.1484793506510343,0.0850900537793186,0.08691882437408249,0.33943238222915745,0.7027023767601387,1.9101928374655648,3.677524225009438,0.040628661794895965,0.008135385420123703,1.8828433472352917,21.669090904743395
Sinostar Pec,Energy,C9Q.SI,2022,0.015317656315474902,0.03171103896625969,0.03616535858750139,0.031846232511303675,0.3746689924300118,0.888531506840538,1.808823709799235,9.430039895782446,0.10149910659175622,0.050341916569007016,1.5927569245213244,21.808804706326974
Dasin Retail Tr,Real Estate,CEDU.SI,2022,-0.14181584777353384,-0.4092857510988728,-3.7152439024390245,0.43028846153846156,0.37562110804770205,0.8567018446201796,0.17727194343852387,-0.22438809146832092,0.5873893259369664,-0.4828202268263071,0.039885953519208726,21.655436610867845
Uni-Asia Grp,Industrials,CHJ.SI,2024,-0.17058146333230867,-0.24336781638848043,-1.0251795521757499,0.7242501056189269,0.2651089165052214,0.3781654208316202,3.5451513596716264,2.7193370165745856,0.17914036149788118,0.08660382253740379,0.27318905637196994,19.170350024836637
Uni-Asia Grp,Industrials,CHJ.SI,2023,0.023659216557198885,0.03374876146696234,0.1702672316872784,0.3284614719363487,0.31190974202953664,0.48992473418023974,1.4133432898513523,11.538433515482696,0.3991784957813067,0.3251260927059319,0.3610868141387251,19.2821139423418
Uni-Asia Grp,Industrials,CHJ.SI,2022,0.11739874500855677,0.18440125841264784,0.37064819257369547,0.4086924976302763,0.3826017613202968,0.6681096462681823,1.3388370832976872,7.485489928303175,0.30981082270127586,0.26691597008358997,0.2955325566881631,19.25678475778399
HRnetGroup,Industrials,CHZ.SI,2024,0.09230718191261941,0.11751166062628188,0.09987019308778193,0.09100769670332771,0.02196932129298957,0.02799683495568407,5.38929147033132,172.83920704845815,0.24023067787556462,0.10988142839114974,1.2052893891345204,19.989175821231942
